,corr_with_next_latent_delta_days_30_pct,abs_corr
next_latent_soh_smooth_days_30_pct,0.3703312081762569,0.3703312081762569
cumulative_flight_count,-0.3606411542453562,0.3606411542453562
rolling_soc_mean_5,-0.3386845035915342,0.3386845035915342
cumulative_event_count,-0.32891489042989874,0.32891489042989874
cumulative_ah,-0.32451326438896366,0.32451326438896366
cumulative_efc,-0.3223357955690173,0.3223357955690173
rolling_flight_frac_5,-0.27641052409963457,0.27641052409963457
rolling_temp_mean_5,-0.23400787955459923,0.23400787955459923
rolling_current_abs_max_5,-0.20297332896943837,0.20297332896943837
soc_mean_pct,-0.18547058924950005,0.18547058924950005
avg_cell_temp_max_c,-0.1680819751888631,0.1680819751888631
rolling_gap_days_mean_5,-0.16779945606481675,0.16779945606481675
rolling_observed_delta_mean_5,0.15992558280654312,0.15992558280654312
voltage_max_v,-0.1561648211109644,0.1561648211109644
avg_cell_temp_mean_c,-0.15435604638972045,0.15435604638972045
rolling_temp_span_mean_5,-0.15313860128600335,0.15313860128600335
latent_soh_smooth_std_pct,0.15044189448456194,0.15044189448456194
soc_min_pct,-0.14631109669992798,0.14631109669992798
voltage_mean_v,-0.14477660833090128,0.14477660833090128
soc_max_pct,-0.1419959454122263,0.1419959454122263
internal_resistance_proxy_ohm,0.11465841863775003,0.11465841863775003
rolling_duration_mean_5,0.11073741536274685,0.11073741536274685
rolling_latent_filter_delta_std_5,0.10934716992082083,0.10934716992082083
flight_event_flag,-0.10722645976646833,0.10722645976646833
observed_soh_pct,0.1041784437724683,0.1041784437724683
score_current,-0.10110114732626674,0.10110114732626674
storage_stress_proxy,-0.0990399395142299,0.0990399395142299
time_since_prev_event_days,-0.09725628563154746,0.09725628563154746
score_soc_edge,-0.08960496324409672,0.08960496324409672
observed_soh_delta_1,0.08605860706913018,0.08605860706913018
prev_observed_soh_pct,0.0833884918080671,0.0833884918080671
delta_days,-0.08125996486454361,0.08125996486454361
rolling_current_abs_mean_5,0.0812289958931256,0.0812289958931256
observed_soh_delta_2,0.0768268086526509,0.0768268086526509
rolling_latent_filter_delta_mean_5,-0.07626172476854665,0.07626172476854665
prev_delta_days,-0.07299795661803281,0.07299795661803281
coulomb_gap_abs_pct,0.06975601570548665,0.06975601570548665
rolling_observed_soh_mean_3,0.06843302584766894,0.06843302584766894
avg_cell_temp_span_c,-0.06835570797533694,0.06835570797533694
rolling_soc_span_mean_5,0.0682670272750018,0.0682670272750018
current_abs_mean_a,0.06537528891699382,0.06537528891699382
prev2_observed_soh_pct,0.06414318140960386,0.06414318140960386
kalman_coulomb_gap_span_pct,0.06402086549421188,0.06402086549421188
arrhenius_temp_proxy,-0.06264572338357002,0.06264572338357002
current_span_a,-0.06190702625551848,0.06190702625551848
rolling_sigma_mean_5,0.06153628367471302,0.06153628367471302
rolling_condition_mean_5,0.06153628367471273,0.06153628367471273
voltage_sag_proxy_v,0.06023809869723539,0.06023809869723539
soc_span_pct,0.05645892211288866,0.05645892211288866
degradation_stress_proxy,-0.05632466985894316,0.05632466985894316
latent_filter_delta_1,0.05599699427725566,0.05599699427725566
soc_edge_stress_proxy,-0.05407653973657693,0.05407653973657693
event_ah,0.05246287546246602,0.05246287546246602
p95_abs_current_a,-0.04957583210768307,0.04957583210768307
flag_new_est_batt_cap_any,0.04831486775503108,0.04831486775503108
battery_id,0.0481217501636708,0.0481217501636708
event_duration_s,0.04687461876213145,0.04687461876213145
p95_abs_dcurrent_a_per_s,0.04638943054354857,0.04638943054354857
rolling_observed_soh_std_3,0.04587025391637041,0.04587025391637041
rolling_observed_delta_std_5,0.044542655029739524,0.044542655029739524
score_observation_instability,0.04404193995512445,0.04404193995512445
thermal_severity_proxy,-0.04199056805843621,0.04199056805843621
duration_stress_index,0.035762222682832204,0.035762222682832204
current_rms_proxy_a,-0.03569469493629375,0.03569469493629375
_filterpy_pred_var_pct2,0.03491569179249512,0.03491569179249512
score_switch,0.03413876018634667,0.03413876018634667
flag_rst_coulomb_any,-0.030537304550606683,0.030537304550606683
event_efc,0.030339422425070987,0.030339422425070987
score_event_type,0.030258443261830553,0.030258443261830553
score_dtemp,0.030085818519980306,0.030085818519980306
score_didt,-0.02843551997742409,0.02843551997742409
estimation_reset_risk,0.02753649199194698,0.02753649199194698
p95_abs_dtemp_c_per_min,0.026688203162817895,0.026688203162817895
measurement_sigma_pct,0.019897475688459742,0.019897475688459742
condition_multiplier,0.0198974756884595,0.0198974756884595
observed_soh_span_pct,0.019884187467126953,0.019884187467126953
instant_stress_index,0.017522327292128877,0.017522327292128877
kalman_coulomb_gap_mean_pct,0.017418194670993092,0.017418194670993092
soc_stress_index,0.016817449294537514,0.016817449294537514
n_rows,0.016626348891745926,0.016626348891745926
observed_soh_slope_pct_per_day_1,0.01586937671326742,0.01586937671326742
throughput_stress_proxy,-0.014453769799543,0.014453769799543
latent_soh_filterpy_filter_pct,0.014334727474573828,0.014334727474573828
latent_soh_filter_pct,0.014334727474573828,0.014334727474573828
observed_soh_iqr_pct,0.013670211648043556,0.013670211648043556
avg_cell_temp_min_c,-0.012780984204264333,0.012780984204264333
_filterpy_pred_state_pct,0.01257593229669723,0.01257593229669723
cap_est_span_raw,-0.010937456130250172,0.010937456130250172
score_gap,-0.010601040862385506,0.010601040862385506
rolling_latent_filter_mean_3,0.009688395212127098,0.009688395212127098
prev_latent_filter_pct,0.009540260648221287,0.009540260648221287
current_temp_stress_index,0.008989654923824827,0.008989654923824827
charge_event_flag,-0.008521271449227284,0.008521271449227284
latent_filter_delta_2,0.007811966425905056,0.007811966425905056
cap_est_delta_raw,-0.0075756368945499196,0.0075756368945499196
rolling_stress_index_max_5,0.00732782133335854,0.00732782133335854
prev2_latent_filter_pct,0.0059457754083078445,0.0059457754083078445
rolling_stress_index_mean_5,-0.0018918610709746878,0.0018918610709746878
