,corr_with_next_latent_delta_flight_5_pct,abs_corr
latent_soh_smooth_std_pct,-0.2969849790433259,0.2969849790433259
next_latent_soh_smooth_flight_5_pct,0.2957737613672446,0.2957737613672446
latent_filter_delta_1,0.26316884811455915,0.26316884811455915
rolling_gap_days_mean_5,-0.22583313007701164,0.22583313007701164
rolling_temp_mean_5,0.22438325012821708,0.22438325012821708
avg_cell_temp_mean_c,0.21907521500274973,0.21907521500274973
latent_filter_delta_2,0.2184798315742937,0.2184798315742937
rolling_current_abs_max_5,-0.21578045667814164,0.21578045667814164
rolling_observed_delta_mean_5,0.21249230491230683,0.21249230491230683
storage_stress_proxy,-0.2080146143830093,0.2080146143830093
avg_cell_temp_max_c,0.19487154580705118,0.19487154580705118
delta_days,-0.1912272188281075,0.1912272188281075
prev_delta_days,-0.18063096419001914,0.18063096419001914
rolling_latent_filter_delta_mean_5,0.17218486203500757,0.17218486203500757
time_since_prev_event_days,-0.1675217444344303,0.1675217444344303
cumulative_flight_count,-0.16060978810189985,0.16060978810189985
rolling_latent_filter_delta_std_5,-0.15666960215232126,0.15666960215232126
rolling_duration_mean_5,-0.15128629444781494,0.15128629444781494
current_temp_stress_index,0.14043866428368967,0.14043866428368967
internal_resistance_proxy_ohm,-0.1288580961031253,0.1288580961031253
cumulative_event_count,-0.11407765600712029,0.11407765600712029
n_rows,-0.11236478905117478,0.11236478905117478
duration_stress_index,-0.11143698176973706,0.11143698176973706
prev2_latent_filter_pct,-0.10724682694329239,0.10724682694329239
rolling_temp_span_mean_5,0.10702483312331225,0.10702483312331225
rolling_latent_filter_mean_3,-0.10626026921777679,0.10626026921777679
event_duration_s,-0.10527991446891448,0.10527991446891448
cumulative_ah,-0.1040846215858909,0.1040846215858909
cumulative_efc,-0.10193379950335744,0.10193379950335744
prev_latent_filter_pct,-0.10121295465996259,0.10121295465996259
_filterpy_pred_state_pct,-0.10063811628811817,0.10063811628811817
observed_soh_delta_1,0.09464993817264929,0.09464993817264929
latent_soh_filter_pct,-0.09412924814441442,0.09412924814441442
latent_soh_filterpy_filter_pct,-0.09412924814441442,0.09412924814441442
observed_soh_delta_2,0.08617503295933138,0.08617503295933138
score_current,0.08451104917820317,0.08451104917820317
observed_soh_slope_pct_per_day_1,0.08077489237779739,0.08077489237779739
thermal_severity_proxy,0.07970207824397431,0.07970207824397431
soc_edge_stress_proxy,0.07204608020378138,0.07204608020378138
voltage_mean_v,0.07127712982911433,0.07127712982911433
observed_soh_pct,0.06892989427247762,0.06892989427247762
soc_mean_pct,0.06501799008636809,0.06501799008636809
avg_cell_temp_span_c,0.06358380999963627,0.06358380999963627
rolling_current_abs_mean_5,0.062177682518730744,0.062177682518730744
observed_soh_iqr_pct,-0.06098439942096058,0.06098439942096058
rolling_observed_delta_std_5,-0.05980600198107182,0.05980600198107182
voltage_sag_proxy_v,-0.05750912617761797,0.05750912617761797
degradation_stress_proxy,0.05305561420480919,0.05305561420480919
current_abs_mean_a,0.05154939585550484,0.05154939585550484
prev_observed_soh_pct,0.04841690307695474,0.04841690307695474
soc_min_pct,0.04526947132264527,0.04526947132264527
arrhenius_temp_proxy,0.044095940574169996,0.044095940574169996
throughput_stress_proxy,-0.04398735241461529,0.04398735241461529
rolling_stress_index_mean_5,0.04106384752764963,0.04106384752764963
voltage_max_v,0.039666361744884235,0.039666361744884235
score_observation_instability,-0.038096302430527855,0.038096302430527855
event_ah,-0.037457864068333735,0.037457864068333735
score_soc_edge,0.037368493057726576,0.037368493057726576
rolling_observed_soh_std_3,-0.035288270738233325,0.035288270738233325
event_efc,-0.03464650066976715,0.03464650066976715
battery_id,0.03269093201360823,0.03269093201360823
rolling_observed_soh_mean_3,0.031125393411778734,0.031125393411778734
rolling_soc_mean_5,0.03050598713812705,0.03050598713812705
avg_cell_temp_min_c,0.030429646039725426,0.030429646039725426
prev2_observed_soh_pct,0.029546872793394012,0.029546872793394012
rolling_soc_span_mean_5,-0.027622871850518205,0.027622871850518205
soc_max_pct,0.027045383116293613,0.027045383116293613
instant_stress_index,0.026563877296884798,0.026563877296884798
soc_span_pct,-0.026407070982162942,0.026407070982162942
coulomb_gap_abs_pct,0.024725321693468968,0.024725321693468968
score_gap,-0.02451458752907824,0.02451458752907824
flag_rst_coulomb_any,0.023910027543633545,0.023910027543633545
current_span_a,-0.02246205960615572,0.02246205960615572
flight_event_flag,0.02160429907793869,0.02160429907793869
rolling_flight_frac_5,0.020874572105374776,0.020874572105374776
observed_soh_span_pct,-0.020871969281183782,0.020871969281183782
measurement_sigma_pct,-0.02078379356884869,0.02078379356884869
condition_multiplier,-0.020783793568848644,0.020783793568848644
charge_event_flag,0.019102190565251663,0.019102190565251663
rolling_condition_mean_5,-0.018550601518962272,0.018550601518962272
rolling_sigma_mean_5,-0.018550601518961634,0.018550601518961634
kalman_coulomb_gap_span_pct,0.018462731318889408,0.018462731318889408
estimation_reset_risk,0.017170067146974215,0.017170067146974215
score_switch,0.01511410317574846,0.01511410317574846
score_didt,-0.01288873351204056,0.01288873351204056
rolling_stress_index_max_5,-0.012735712954241475,0.012735712954241475
p95_abs_dcurrent_a_per_s,0.011034465263291065,0.011034465263291065
flag_new_est_batt_cap_any,0.00925268257801311,0.00925268257801311
soc_stress_index,0.009030745471349732,0.009030745471349732
cap_est_delta_raw,0.0085340131830561,0.0085340131830561
cap_est_span_raw,0.006710039636515594,0.006710039636515594
current_rms_proxy_a,0.0066223056723323575,0.0066223056723323575
score_dtemp,0.006604627071246579,0.006604627071246579
p95_abs_dtemp_c_per_min,0.0062924170045977465,0.0062924170045977465
score_event_type,0.006211941618782148,0.006211941618782148
p95_abs_current_a,-0.0036045771985477038,0.0036045771985477038
kalman_coulomb_gap_mean_pct,0.002079022735538488,0.002079022735538488
_filterpy_pred_var_pct2,0.0009843668060315728,0.0009843668060315728
