,corr_with_next_latent_delta_pct,abs_corr
rolling_gap_days_mean_5,-0.39559557949843416,0.39559557949843416
latent_filter_delta_1,0.36777105089022144,0.36777105089022144
rolling_observed_delta_mean_5,0.3342690205498495,0.3342690205498495
latent_filter_delta_2,0.29657032251839405,0.29657032251839405
prev_delta_days,-0.2699495040834768,0.2699495040834768
storage_stress_proxy,-0.2346356946298853,0.2346356946298853
latent_soh_smooth_std_pct,-0.23221012441820174,0.23221012441820174
delta_days,-0.22405823637173783,0.22405823637173783
rolling_latent_filter_delta_mean_5,0.21222364124008355,0.21222364124008355
cumulative_flight_count,-0.2101493528161499,0.2101493528161499
time_since_prev_event_days,-0.20881026310797887,0.20881026310797887
rolling_current_abs_max_5,-0.18542561274070352,0.18542561274070352
cumulative_event_count,-0.1739163387242511,0.1739163387242511
rolling_flight_frac_5,-0.17330153206899865,0.17330153206899865
observed_soh_delta_2,0.16066392452773814,0.16066392452773814
cumulative_efc,-0.15951403926703245,0.15951403926703245
cumulative_ah,-0.15756795299610463,0.15756795299610463
next_latent_soh_smooth_pct,0.1574872626421213,0.1574872626421213
observed_soh_delta_1,0.15736039337208252,0.15736039337208252
rolling_latent_filter_delta_std_5,-0.1451472699878851,0.1451472699878851
observed_soh_pct,0.11910739892472476,0.11910739892472476
prev_observed_soh_pct,0.09072601822703957,0.09072601822703957
rolling_latent_filter_mean_3,-0.07676888342547371,0.07676888342547371
prev2_latent_filter_pct,-0.07563954849018328,0.07563954849018328
current_temp_stress_index,0.07140850738975815,0.07140850738975815
_filterpy_pred_state_pct,-0.07130558017327417,0.07130558017327417
prev_latent_filter_pct,-0.06989688261086256,0.06989688261086256
current_abs_mean_a,0.06445419981174395,0.06445419981174395
latent_soh_filterpy_filter_pct,-0.06248522585689129,0.06248522585689129
latent_soh_filter_pct,-0.06248522585689129,0.06248522585689129
prev2_observed_soh_pct,0.061158451928008166,0.061158451928008166
rolling_observed_soh_mean_3,0.060932583728696005,0.060932583728696005
observed_soh_iqr_pct,-0.05750544833630078,0.05750544833630078
rolling_soc_mean_5,-0.05258132175618622,0.05258132175618622
rolling_temp_span_mean_5,0.051029657284180845,0.051029657284180845
n_rows,-0.04768739781683955,0.04768739781683955
avg_cell_temp_mean_c,0.04753069723598655,0.04753069723598655
flight_event_flag,-0.04602072392107406,0.04602072392107406
duration_stress_index,-0.04537010082019868,0.04537010082019868
thermal_severity_proxy,0.044843508091307126,0.044843508091307126
battery_id,0.04393684725779157,0.04393684725779157
score_didt,-0.04335580150751283,0.04335580150751283
event_duration_s,-0.042261563146137,0.042261563146137
avg_cell_temp_span_c,0.03896942154918679,0.03896942154918679
flag_rst_coulomb_any,0.03771003771677971,0.03771003771677971
rolling_current_abs_mean_5,0.03704854478841853,0.03704854478841853
degradation_stress_proxy,0.03489805035177778,0.03489805035177778
cap_est_delta_raw,0.03445457758988538,0.03445457758988538
avg_cell_temp_max_c,0.03362858205588687,0.03362858205588687
cap_est_span_raw,0.03309889695754938,0.03309889695754938
voltage_mean_v,-0.032209696780981206,0.032209696780981206
instant_stress_index,0.0314714390160988,0.0314714390160988
current_span_a,-0.03006682547900909,0.03006682547900909
voltage_max_v,-0.028877985150460504,0.028877985150460504
rolling_stress_index_mean_5,0.02884903214532168,0.02884903214532168
estimation_reset_risk,0.02871083298022191,0.02871083298022191
soc_min_pct,-0.028531072269772736,0.028531072269772736
rolling_soc_span_mean_5,0.027485725120942977,0.027485725120942977
score_switch,0.025595244780372915,0.025595244780372915
rolling_duration_mean_5,-0.024053608116676253,0.024053608116676253
_filterpy_pred_var_pct2,-0.02383990690352055,0.02383990690352055
avg_cell_temp_min_c,-0.023533779593334685,0.023533779593334685
soc_stress_index,0.023181577854896048,0.023181577854896048
event_ah,0.02289783329506446,0.02289783329506446
current_rms_proxy_a,0.022291829802828293,0.022291829802828293
rolling_observed_delta_std_5,0.021678936406107067,0.021678936406107067
soc_span_pct,0.021515904927158967,0.021515904927158967
soc_edge_stress_proxy,0.020537932458030872,0.020537932458030872
rolling_temp_mean_5,-0.0205205224510052,0.0205205224510052
rolling_stress_index_max_5,0.020172629501688844,0.020172629501688844
rolling_sigma_mean_5,0.01985375475169697,0.01985375475169697
rolling_condition_mean_5,0.019853754751696116,0.019853754751696116
internal_resistance_proxy_ohm,-0.019085762201745182,0.019085762201745182
charge_event_flag,-0.017956426250159235,0.017956426250159235
observed_soh_slope_pct_per_day_1,0.017864119254763937,0.017864119254763937
voltage_sag_proxy_v,0.01771214482298464,0.01771214482298464
coulomb_gap_abs_pct,0.017271633139072047,0.017271633139072047
score_gap,-0.017215175020403217,0.017215175020403217
flag_new_est_batt_cap_any,0.016472473040006527,0.016472473040006527
soc_mean_pct,-0.016178944606725608,0.016178944606725608
event_efc,0.015183460103787351,0.015183460103787351
score_observation_instability,-0.014931337582483745,0.014931337582483745
score_current,0.014830034391431055,0.014830034391431055
kalman_coulomb_gap_span_pct,0.01399127144418529,0.01399127144418529
p95_abs_current_a,0.0139537509148433,0.0139537509148433
condition_multiplier,-0.011390155400452696,0.011390155400452696
measurement_sigma_pct,-0.011390155400452443,0.011390155400452443
soc_max_pct,-0.008672930593523327,0.008672930593523327
observed_soh_span_pct,0.007694745795911095,0.007694745795911095
p95_abs_dtemp_c_per_min,0.005585166621008765,0.005585166621008765
score_dtemp,0.005263307500592218,0.005263307500592218
arrhenius_temp_proxy,-0.005206643468558846,0.005206643468558846
kalman_coulomb_gap_mean_pct,0.004482662477459488,0.004482662477459488
throughput_stress_proxy,-0.004479546041201103,0.004479546041201103
score_soc_edge,-0.0035258990656583345,0.0035258990656583345
score_event_type,0.002882749958798622,0.002882749958798622
p95_abs_dcurrent_a_per_s,0.002790983358215127,0.002790983358215127
rolling_observed_soh_std_3,0.0013147184221102865,0.0013147184221102865
