epoch,train_loss,valid_mae
1,7221.7740478515625,71.87783813476562
2,7002.4953206380205,70.32117462158203
3,6204.189290364583,62.09357452392578
4,4890.394775390625,51.562110900878906
5,3558.3874308268228,40.84487533569336
6,2391.272216796875,29.609609603881836
7,1440.2357482910156,18.470096588134766
8,767.9932619730631,8.47356128692627
9,383.1846694946289,1.5208604335784912
10,193.45988114674887,5.395455837249756
11,122.09429454803467,8.843935012817383
12,102.38096650441487,10.778865814208984
13,97.33080164591472,11.631609916687012
14,97.05748653411865,12.028879165649414
15,94.32219282786052,12.168071746826172
16,90.8122787475586,12.27912425994873
17,86.54864517847697,12.05370044708252
