model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,774,2.6175710594315245,5.898802050677318,0.6914935278349545,2.6175710594315245,5.898802050677318,-0.007891635261166208
naive_zero_delta,valid,166,0.3855421686746988,0.7761505257063329,0.8182853139504335,0.3855421686746988,0.7761505257063329,-0.0021733880705143704
naive_zero_delta,test,160,1.9125,4.686416541452541,0.7655879001597241,1.9125,4.686416541452541,-0.10586606243705932
naive_zero_delta,holdout,94,0.19148936170212766,0.4837794468468967,0.8670010933178982,0.19148936170212766,0.4837794468468967,-0.18577981651376185
ridge_raw_only,train,774,2.9328505243605743,5.133303745258461,0.7663689503453123,2.9328505243605743,5.133303745258461,0.23672661052546362
ridge_raw_only,valid,166,1.1529073635055251,1.4340323227536105,0.3796796955550018,1.1529073635055251,1.4340323227536105,-2.42112415187512
ridge_raw_only,test,160,2.795598773269816,4.19052958786229,0.8125713083639049,2.795598773269816,4.19052958786229,0.11578357367828318
ridge_raw_only,holdout,94,1.2996601360352842,1.5934881138819004,-0.44294873015733915,1.2996601360352842,1.5934881138819004,-11.864913879137886
ridge_raw_plus_latent,train,774,2.9326102163100622,5.090053032631819,0.7702892875056238,2.9326102163100622,5.090053032631819,0.24953436461746714
ridge_raw_plus_latent,valid,166,1.218232793739241,1.4938134389832562,0.3268825637155258,1.218232793739241,1.4938134389832562,-2.7123052426623575
ridge_raw_plus_latent,test,160,3.253977088939485,4.115888461910121,0.8191887514917996,3.253977088939485,4.115888461910121,0.1470021233189901
ridge_raw_plus_latent,holdout,94,1.3343287182818886,1.6889233271067505,-0.620963037803935,1.3343287182818886,1.6889233271067505,-13.452038001613184
elastic_raw_plus_latent_plus_history,train,774,2.7143859886665935,5.615146500772594,0.7204504370274045,2.7143859886665935,5.615146500772594,0.0867106800590578
elastic_raw_plus_latent_plus_history,valid,166,0.607979190573537,0.8598303132107535,0.7769903684202456,0.607979190573537,0.8598303132107535,-0.22991885197257456
elastic_raw_plus_latent_plus_history,test,160,2.118190683831942,4.673546981588618,0.7668735896723544,2.118190683831942,4.673546981588618,-0.09980067417502925
elastic_raw_plus_latent_plus_history,holdout,94,0.5820111719581228,0.7240317553067416,0.7021013930753442,0.5820111719581228,0.7240317553067416,-1.6559778893758446
ridge_raw_plus_latent_plus_history,train,774,2.808011914289741,4.426656626970161,0.8262646053639622,2.808011914289741,4.426656626970161,0.43240590781258736
ridge_raw_plus_latent_plus_history,valid,166,1.3740843502615816,1.7907439607062476,0.03269127186707077,1.3740843502615816,1.7907439607062476,-4.334797568968809
ridge_raw_plus_latent_plus_history,test,160,4.447208921096715,6.3095193262458364,0.5750960184532384,4.447208921096715,6.3095193262458364,-1.0045334404969641
ridge_raw_plus_latent_plus_history,holdout,94,1.3184360140705569,1.8654871679578022,-0.9775969139514629,1.3184360140705569,1.8654871679578022,-16.631682577426208
gbdt_raw_plus_latent_plus_history,train,774,0.3268641687658744,0.45277780722950456,0.9981823640733681,0.3268641687658744,0.45277780722950456,0.9940617775907719
gbdt_raw_plus_latent_plus_history,valid,166,1.1554122608156283,1.635823659198558,0.19281871030418563,1.1554122608156283,1.635823659198558,-3.451679858505919
gbdt_raw_plus_latent_plus_history,test,160,6.523747931912102,8.69454570574044,0.19315141738029795,6.523747931912102,8.69454570574044,-2.8064010588725847
gbdt_raw_plus_latent_plus_history,holdout,94,0.5534745647881985,0.7684890977014738,0.6643948126133308,0.5534745647881985,0.7684890977014738,-1.9921588639193355
random_forest_raw_plus_latent_plus_history,train,774,1.07437863506539,2.4242437783775683,0.9478938225884144,1.07437863506539,2.4242437783775683,0.8297689510692805
random_forest_raw_plus_latent_plus_history,valid,166,0.7518059474164213,1.0543706548001643,0.6646604814825738,0.7518059474164213,1.0543706548001643,-0.8494286220480509
random_forest_raw_plus_latent_plus_history,test,160,6.795189629225476,9.547032788141754,0.02717420204407872,6.795189629225476,9.547032788141754,-3.589417676629088
random_forest_raw_plus_latent_plus_history,holdout,94,0.4550894132687758,0.571576941657173,0.8143467123757733,0.4550894132687758,0.571576941657173,-0.6552310603607241
gam_spline_raw_plus_latent_plus_history,train,774,2.0867459737949683,3.1337236998736664,0.9129321062411518,2.0867459737949683,3.1337236998736664,0.7155489114912195
gam_spline_raw_plus_latent_plus_history,valid,166,2.058708016677029,2.6841482922375164,-1.1732572031253583,2.058708016677029,2.6841482922375164,-10.985715528852195
gam_spline_raw_plus_latent_plus_history,test,160,5.362122170862025,6.929823145829285,0.48744254660025943,5.362122170862025,6.929823145829285,-1.4180487831053017
gam_spline_raw_plus_latent_plus_history,holdout,94,1.9908241535861984,2.4636634181270973,-2.4491810663423457,1.9908241535861984,2.4636634181270973,-29.75190160582405
lstm_sequence,train,752,12.236624037965814,14.558109001777499,-0.9019311401826453,12.236624037965814,14.558109001777499,-4.973824033394736
lstm_sequence,valid,166,2.037699228309723,2.554844424303282,-0.9689153031421005,2.037699228309723,2.554844424303282,-9.85875095222393
lstm_sequence,test,160,9.200525450706483,12.895084333697362,-0.7747885747920598,9.200525450706483,12.895084333697362,-7.372769384348796
lstm_sequence,holdout,72,22.614428838094074,22.63777864332633,-480.3624586975159,22.614428838094074,22.63777864332633,-2242.783285094248
gru_sequence,train,752,12.230334839922316,14.550613423729901,-0.8999731381829827,12.230334839922316,14.550613423729901,-4.967674094968524
gru_sequence,valid,166,2.055048977036074,2.5703267946978112,-0.9928508827169436,2.055048977036074,2.5703267946978112,-9.990757898934934
gru_sequence,test,160,9.391733837127685,13.051304621039005,-0.8180511739014515,9.391733837127685,13.051304621039005,-7.5768656752846955
gru_sequence,holdout,72,22.638792991638184,22.662022941577092,-481.39405675717927,22.638792991638184,22.662022941577092,-2247.591891252426
physics_hybrid_nn,train,774,1.8044874945352243,3.899298732969774,0.865193866749769,1.8044874945352243,3.899298732969774,0.5595879297724361
physics_hybrid_nn,valid,166,0.42092941468020517,0.7770463743739211,0.8178655943185208,0.42092941468020517,0.7770463743739211,-0.0044881808629850806
physics_hybrid_nn,test,160,1.9204698562622071,3.9298384317255346,0.835165679646099,1.9204698562622071,3.9298384317255346,0.2223751208727589
physics_hybrid_nn,holdout,94,0.4335444024268617,0.4842073805164116,0.8667656972799377,0.4335444024268617,0.4842073805164116,-0.1878785395609226
physics_informed_pinn,train,774,2.8298647434520476,5.689497816666505,0.7129982765915157,2.8298647434520476,5.689497816666505,0.062364447984100124
physics_informed_pinn,valid,166,0.6039979773831655,0.9005832885081211,0.7553496261506367,0.6039979773831655,0.9005832885081211,-0.3492695575879641
physics_informed_pinn,test,160,2.452625584602356,5.101799884805884,0.7221917811284182,2.452625584602356,5.101799884805884,-0.31059224897307813
physics_informed_pinn,holdout,94,0.354477659184882,0.46270548453804755,0.8783358746629903,0.354477659184882,0.46270548453804755,-0.08472218168874068
