feature,family,lag_step,roll_window,ewm_span,rate_step
observed_soh_pct,operating,,,,
observed_soh_pct_rollmin_5,history,,5.0,,
observed_soh_pct_rollmax_13,history,,13.0,,
latent_soh_filterpy_filter_pct,latent,,,,
cumulative_event_count,operating,,,,
latent_filter_delta_1,latent,,,,
current_temp_stress_index_ewmstd_13,physics,,,13.0,
current_temp_stress_index_rollmax_13,physics,,13.0,,
current_temp_stress_index_rollstd_13,physics,,13.0,,
duration_stress_index_rollmax_21,physics,,21.0,,
current_temp_stress_index_rollmax_21,physics,,21.0,,
duration_stress_index_rollmean_21,physics,,21.0,,
duration_stress_index_ewmmean_13,physics,,,13.0,
latent_soh_smooth_std_pct,latent,,,,
latent_filter_delta_2,latent,,,,
internal_resistance_proxy_ohm_rollmax_21,physics,,21.0,,
current_temp_stress_index_rollmean_21,physics,,21.0,,
internal_resistance_proxy_ohm_rollmean_21,physics,,21.0,,
score_current,operating,,,,
duration_stress_index_diff1,physics,,,,1.0
degradation_stress_proxy_rollstd_21,physics,,21.0,,
n_rows,operating,,,,
duration_stress_index_ewmstd_13,physics,,,13.0,
current_temp_stress_index_rollmax_8,physics,,8.0,,
flag_rst_coulomb_any,operating,,,,
current_rms_proxy_a,operating,,,,
observed_soh_delta_1,operating,,,,
kalman_coulomb_gap_span_pct,operating,,,,
cap_est_span_raw,operating,,,,
current_abs_mean_a,operating,,,,
_filterpy_pred_var_pct2,latent,,,,
observed_soh_iqr_pct,operating,,,,
thermal_severity_proxy,operating,,,,
event_type__other,static_categorical,,,,
event_type__flight,static_categorical,,,,
event_type__charge,static_categorical,,,,
