corr_with_next_latent_delta_flight_15_pct,abs_corr
0.40621584110337255,0.40621584110337255
0.3983873047817204,0.3983873047817204
0.3865759812295477,0.3865759812295477
0.3686078067148508,0.3686078067148508
0.2708306285675789,0.2708306285675789
-0.25902844288319304,0.25902844288319304
-0.25643210424617935,0.25643210424617935
-0.2548007547614827,0.2548007547614827
-0.2526571328628167,0.2526571328628167
-0.24934146431947513,0.24934146431947513
-0.247645202007868,0.247645202007868
-0.24318149831801347,0.24318149831801347
-0.24318149831801347,0.24318149831801347
0.21829440558823196,0.21829440558823196
-0.19633720240782943,0.19633720240782943
0.18958947135938514,0.18958947135938514
-0.1866739663327325,0.1866739663327325
0.18025431801489297,0.18025431801489297
-0.1781983452205205,0.1781983452205205
0.16464824472811793,0.16464824472811793
0.16288535199445237,0.16288535199445237
-0.14710386602729644,0.14710386602729644
0.14667365045188646,0.14667365045188646
-0.14170508787129313,0.14170508787129313
0.13946537207048007,0.13946537207048007
0.13499187947731991,0.13499187947731991
0.13223504243369785,0.13223504243369785
0.1167252087693958,0.1167252087693958
0.1163403773947974,0.1163403773947974
0.11314836216473236,0.11314836216473236
0.10825260815857601,0.10825260815857601
0.09966236220039407,0.09966236220039407
0.09802870740554483,0.09802870740554483
0.09704343521994983,0.09704343521994983
-0.09523205002737956,0.09523205002737956
0.09347888693741989,0.09347888693741989
0.09276240056930637,0.09276240056930637
-0.0915421884748175,0.0915421884748175
-0.0900232841091477,0.0900232841091477
-0.08993585000076579,0.08993585000076579
0.08764501016833996,0.08764501016833996
0.08644842446519703,0.08644842446519703
0.08461065785230085,0.08461065785230085
0.08430993900866969,0.08430993900866969
0.08153267727936503,0.08153267727936503
-0.08108006384590306,0.08108006384590306
0.08044138302363602,0.08044138302363602
-0.07691826871890059,0.07691826871890059
-0.07595934538983036,0.07595934538983036
-0.07533502651648706,0.07533502651648706
-0.07391920752502922,0.07391920752502922
0.0738312131005402,0.0738312131005402
-0.07216595847251163,0.07216595847251163
0.06961060703816939,0.06961060703816939
0.06536844367161938,0.06536844367161938
0.06458039338154692,0.06458039338154692
0.06349613278425092,0.06349613278425092
-0.06072515672047812,0.06072515672047812
0.051370406481473285,0.051370406481473285
-0.05113117111939198,0.05113117111939198
0.04979060896942063,0.04979060896942063
0.049255663632815375,0.049255663632815375
0.04753615529155104,0.04753615529155104
0.04690110747556798,0.04690110747556798
0.04442639501444087,0.04442639501444087
0.04321948344155192,0.04321948344155192
0.04197757515278282,0.04197757515278282
-0.040140138595807145,0.040140138595807145
0.039764395447037325,0.039764395447037325
0.03943310920493472,0.03943310920493472
0.03924629544569185,0.03924629544569185
-0.039020838346689346,0.039020838346689346
0.03676681231645279,0.03676681231645279
-0.035471493944131516,0.035471493944131516
0.03381640314549178,0.03381640314549178
-0.0333282306168018,0.0333282306168018
0.03222741067169914,0.03222741067169914
0.03144229563289375,0.03144229563289375
0.031429004338418554,0.031429004338418554
-0.02764667281302979,0.02764667281302979
0.027381035020422828,0.027381035020422828
0.027131948518821166,0.027131948518821166
0.020112280147206882,0.020112280147206882
0.019642259903688848,0.019642259903688848
0.01776921940436883,0.01776921940436883
0.017639282005528077,0.017639282005528077
0.01695186358289238,0.01695186358289238
0.014723270725847596,0.014723270725847596
0.014032535320097822,0.014032535320097822
0.01375751297919463,0.01375751297919463
0.012604237661400454,0.012604237661400454
-0.012172412250258353,0.012172412250258353
0.011725739247447346,0.011725739247447346
0.008435584077358043,0.008435584077358043
-0.00690527922170635,0.00690527922170635
0.003858115016070469,0.003858115016070469
0.0028696385890392704,0.0028696385890392704
-0.0014805141402789552,0.0014805141402789552
