,corr_with_next_observed_delta_flight_30_pct,abs_corr
rolling_latent_filter_delta_mean_5,-0.4978555914115492,0.4978555914115492
latent_filter_delta_1,-0.47058752643607743,0.47058752643607743
observed_soh_pct,-0.46704782463640104,0.46704782463640104
latent_filter_delta_2,-0.44654926375228887,0.44654926375228887
prev_observed_soh_pct,-0.4325193146421418,0.4325193146421418
rolling_observed_soh_mean_3,-0.4174204556515893,0.4174204556515893
prev2_observed_soh_pct,-0.4140233123183537,0.4140233123183537
next_observed_soh_flight_30_pct,0.39489238592469394,0.39489238592469394
rolling_temp_mean_5,-0.28369228065661484,0.28369228065661484
rolling_duration_mean_5,0.26367170819562386,0.26367170819562386
rolling_observed_delta_mean_5,-0.2508307550883786,0.2508307550883786
avg_cell_temp_max_c,-0.22720308284245755,0.22720308284245755
avg_cell_temp_mean_c,-0.22688222916247802,0.22688222916247802
rolling_soc_mean_5,-0.22505279364084532,0.22505279364084532
rolling_gap_days_mean_5,0.2080146231281022,0.2080146231281022
rolling_flight_frac_5,-0.1949845391809706,0.1949845391809706
rolling_current_abs_max_5,-0.1871716391258243,0.1871716391258243
rolling_latent_filter_delta_std_5,0.1776957011697986,0.1776957011697986
latent_soh_filterpy_filter_pct,-0.17586971763019024,0.17586971763019024
latent_soh_filter_pct,-0.17586971763019024,0.17586971763019024
_filterpy_pred_state_pct,-0.16276533711749497,0.16276533711749497
prev_latent_filter_pct,-0.1620216020186212,0.1620216020186212
observed_soh_delta_1,-0.15635987820051195,0.15635987820051195
rolling_latent_filter_mean_3,-0.1497340229323187,0.1497340229323187
prev2_latent_filter_pct,-0.14878154291751844,0.14878154291751844
current_temp_stress_index,-0.1415908772158719,0.1415908772158719
soc_min_pct,-0.128260472599468,0.128260472599468
internal_resistance_proxy_ohm,0.1257689050563365,0.1257689050563365
rolling_current_abs_mean_5,-0.11635490684380033,0.11635490684380033
soc_mean_pct,-0.11523025074948981,0.11523025074948981
latent_soh_smooth_std_pct,0.10406029694180034,0.10406029694180034
score_current,-0.10316359417930215,0.10316359417930215
n_rows,0.10004325613395891,0.10004325613395891
event_duration_s,0.09817124731210974,0.09817124731210974
arrhenius_temp_proxy,-0.09802791500649644,0.09802791500649644
avg_cell_temp_min_c,-0.09695086851087406,0.09695086851087406
duration_stress_index,0.09320837378277569,0.09320837378277569
flight_event_flag,-0.09284058651557915,0.09284058651557915
soc_max_pct,-0.09216535077939815,0.09216535077939815
time_since_prev_event_days,0.09066855802327621,0.09066855802327621
rolling_stress_index_max_5,0.08797948498118695,0.08797948498118695
prev_delta_days,0.08493514503456506,0.08493514503456506
observed_soh_delta_2,-0.08346853960135273,0.08346853960135273
rolling_soc_span_mean_5,0.0791479793365034,0.0791479793365034
observed_soh_slope_pct_per_day_1,-0.07729609818948219,0.07729609818948219
voltage_max_v,-0.07633219848903622,0.07633219848903622
storage_stress_proxy,0.07544404530663464,0.07544404530663464
thermal_severity_proxy,-0.07519614814788089,0.07519614814788089
delta_days,0.07412330957403603,0.07412330957403603
current_rms_proxy_a,-0.07270629591760629,0.07270629591760629
current_span_a,-0.07019733580997706,0.07019733580997706
p95_abs_current_a,-0.06933088105564253,0.06933088105564253
score_gap,0.06687229733704916,0.06687229733704916
degradation_stress_proxy,-0.06661857350541735,0.06661857350541735
event_efc,0.06503038231896605,0.06503038231896605
rolling_temp_span_mean_5,-0.06465015247111379,0.06465015247111379
current_abs_mean_a,-0.06409147742493135,0.06409147742493135
soc_span_pct,0.060072576184033846,0.060072576184033846
voltage_mean_v,-0.05633256680630805,0.05633256680630805
flag_rst_coulomb_any,-0.05432523204890781,0.05432523204890781
cumulative_ah,0.04956102693958191,0.04956102693958191
cumulative_efc,0.0470708717035168,0.0470708717035168
cap_est_delta_raw,0.04676487993618189,0.04676487993618189
cap_est_span_raw,0.04550014764376264,0.04550014764376264
observed_soh_iqr_pct,0.04469301908885862,0.04469301908885862
score_event_type,0.04358897433140253,0.04358897433140253
soc_stress_index,0.04331731020478693,0.04331731020478693
rolling_observed_soh_std_3,0.04064296623861566,0.04064296623861566
cumulative_event_count,0.040009094777344344,0.040009094777344344
score_soc_edge,-0.03995676479152396,0.03995676479152396
score_didt,-0.03693080196212846,0.03693080196212846
score_observation_instability,0.0355800282295354,0.0355800282295354
battery_id,0.031064364231484693,0.031064364231484693
cumulative_flight_count,0.030895156507108334,0.030895156507108334
p95_abs_dcurrent_a_per_s,-0.030356332843105658,0.030356332843105658
measurement_sigma_pct,0.02649301316549714,0.02649301316549714
condition_multiplier,0.02649301316549702,0.02649301316549702
kalman_coulomb_gap_span_pct,-0.02572652279054419,0.02572652279054419
observed_soh_span_pct,0.024028831327031288,0.024028831327031288
instant_stress_index,0.02291705624618788,0.02291705624618788
score_dtemp,-0.018654526702290772,0.018654526702290772
avg_cell_temp_span_c,-0.0183274015877528,0.0183274015877528
throughput_stress_proxy,-0.01705689619917764,0.01705689619917764
charge_event_flag,0.016936612798283183,0.016936612798283183
estimation_reset_risk,-0.016666797520825494,0.016666797520825494
_filterpy_pred_var_pct2,-0.016574474274003423,0.016574474274003423
rolling_sigma_mean_5,-0.015834321325310072,0.015834321325310072
rolling_condition_mean_5,-0.0158343213253099,0.0158343213253099
p95_abs_dtemp_c_per_min,-0.014762545682446084,0.014762545682446084
rolling_observed_delta_std_5,0.012821354009016154,0.012821354009016154
coulomb_gap_abs_pct,-0.01094360261514001,0.01094360261514001
score_switch,-0.010391561454527095,0.010391561454527095
rolling_stress_index_mean_5,0.010055967535132675,0.010055967535132675
soc_edge_stress_proxy,0.007761691074239734,0.007761691074239734
voltage_sag_proxy_v,0.00750333387343744,0.00750333387343744
flag_new_est_batt_cap_any,0.005207967840650056,0.005207967840650056
event_ah,0.004677946296200528,0.004677946296200528
kalman_coulomb_gap_mean_pct,-0.004586265449885611,0.004586265449885611
